Englisch, Deutsch
minister,Minister
minor,unerheblich
minority,Minderheit
minute,Minute
miracle,Wunder
mirror,Spiegel
miss,fehlschlagen
missile,Rakete
mission,Mission
mistake,Fehler
mix,mischen
mixture,Mischung
mm-hmm,MM-HMM
mode,Modus
model,Modell
moderate,mäßig
modern,modern
modest,bescheiden
mom,Mama
moment,Moment
money,Geld
monitor,Monitor
month,Monat
mood,Stimmung
moon,Mond
moral,Moral-
more,mehr
moreover,Außerdem
morning,Morgen
mortgage,Hypothek
most,die meisten
mostly,meist
mother,Mutter
motion,Bewegung
motivation,Motivation
motor,Motor-
mount,montieren
mountain,Berg
mouse,Maus
mouth,Mund
move,Bewegung
movement,Bewegung
movie,Film
Mr,Herr
Mrs,Frau
Ms,MS
much,viel
multiple,mehrere
murder,Mord
muscle,Muskel
museum,Museum
music,Musik
musical,Musical
musician,Musiker
Muslim,Muslim
must,muss
mutual,gegenseitig
my,mein
myself,mich selbst
mystery,Geheimnis
myth,Mythos
naked,nackt
name,Name
narrative,Narrativ
narrow,eng
nation,Nation
national,National
native,einheimisch
natural,natürlich
naturally,natürlich
nature,Natur
near,nahe
nearby,in der Nähe
nearly,fast
necessarily,Notwendig
necessary,notwendig
neck,Nacken
need,brauchen
negative,Negativ
negotiate,verhandeln
negotiation,Verhandlung
neighbor,Nachbar
neighborhood,Nachbarschaft
neither,weder
nerve,Nerv
nervous,nervös
net,Netz
network,Netzwerk
never,noch nie
nevertheless,Dennoch
new,Neu
newly,neu
news,Nachrichten
newspaper,Zeitung
next,nächste
nice,Hübsch
night,Nacht
nine,neun
no,nein
nobody,niemand
nod,nicken
noise,Lärm
nomination,Nominierung
none,keiner
nonetheless,dennoch
nor,Noch
normal,normal
normally,normalerweise
north,Norden
northern,Nord
nose,Nase
not,nicht
note,Hinweis
nothing,nichts
notice,Notiz
notion,Vorstellung
novel,Roman
now,jetzt
nowhere,nirgends
n't,n't
nuclear,Nuklear
number,Nummer
numerous,zahlreich
nurse,Krankenschwester
nut,Mutter
object,Objekt
objective,Zielsetzung
obligation,Verpflichtung
observation,Überwachung
observe,beobachten
observer,Beobachter
obtain,erhalten
obvious,offensichtlich
obviously,offensichtlich
occasion,Gelegenheit
occasionally,gelegentlich
occupation,Besetzung
occupy,besetzen
occur,geschehen
ocean,Ozean
odd,seltsam
odds,Chancen
of,von
off,aus
offense,Delikt
offensive,beleidigend
offer,Angebot
office,Büro
officer,Offizier
official,offiziell
often,häufig
oh,oh
oil,Öl
ok,OK
okay,okay
old,alt
Olympic,olympisch
on,an
once,einmal
one,eines
ongoing,laufend
onion,Zwiebel
online,online
only,nur
onto,auf zu
open,offen
opening,Öffnung
operate,arbeiten
operating,Betriebs
operation,Betrieb
operator,Operator
opinion,Meinung
opponent,Gegner
opportunity,Gelegenheit
oppose,ablehnen
opposite,Gegenteil
opposition,Opposition
option,Möglichkeit
or,oder
orange,Orange
order,bestellen
ordinary,gewöhnliche
organic,organisch
organization,Organisation
organize,organisieren
orientation,Orientierung
origin,Ursprung
original,Original
originally,ursprünglich
other,Sonstiges
others,Andere
otherwise,Andernfalls
ought,sollen
our,unser
ourselves,uns selbst
out,aus
outcome,Ergebnis
outside,außen
oven,Ofen
over,Über
overall,gesamt
overcome,überwinden
overlook,übersehen
owe,verdanken
own,besitzen
owner,Eigentümer
pace,Tempo
pack,Pack
package,Paket
page,Seite
pain,Schmerzen
painful,schmerzlich
paint,Farbe
painter,Maler
painting,Malerei
pair,Paar
pale,blass
Palestinian,palästinensisch
palm,Palme
pan,Pfanne
panel,Panel
pant,keuchen
paper,Papier
parent,Elternteil
park,Park
parking,Parken
part,Teil
participant,Teilnehmer
participate,sich beteiligen
participation,Beteiligung
particular,besondere
particularly,im Speziellen
partly,teilweise
partner,Partner
partnership,Partnerschaft
party,Party
pass,passieren
passage,Passage
passenger,Passagier
passion,Hingabe
past,vorbei an
patch,Patch
path,Weg
patient,Geduldig
pattern,Muster
pause,Pause
pay,Zahlen
payment,Zahlung
PC,PC
peace,Frieden
peak,Gipfel
peer,Peer
penalty,Strafe
people,Personen
pepper,Pfeffer
per,pro
perceive,wahrnehmen
percentage,Prozentsatz
perception,Wahrnehmung
perfect,perfekt
perfectly,perfekt
perform,ausführen
performance,Leistung
perhaps,vielleicht
period,Zeitraum
permanent,dauerhaft
permission,Genehmigung
permit,erlauben
person,Person
personal,persönlich
personality,Persönlichkeit
personally,persönlich
personnel,Personal
perspective,Perspektive
persuade,überreden
pet,Haustier
phase,Phase
phenomenon,Phänomen
philosophy,Philosophie
phone,Telefon
photo,Foto
photograph,Foto
photographer,Fotograf
phrase,Phrase
physical,physisch
physically,physisch
physician,Arzt
piano,Klavier
pick,wählen
picture,Bild
pie,Kuchen
piece,Stück
pile,Haufen
pilot,Pilot
pine,Kiefer
pink,rosa
pipe,Rohr
pitch,Tonhöhe
place,Platz
plan,planen
plane,Flugzeug
planet,Planet
planning,Planung
plant,Pflanze
plastic,Plastik
plate,Teller
platform,Plattform
play,abspielen
player,Spieler
please,bitte
pleasure,Vergnügen
plenty,eine Menge
plot,Handlung
plus,Plus
PM,PM
pocket,Tasche
poem,Gedicht
poet,Dichter
poetry,Poesie
point,Punkt
pole,Pole
police,Polizei
policy,Politik
political,politisch
politically,politisch
politician,Politiker
politics,Politik
poll,Umfrage
pollution,Umweltverschmutzung
pool,Schwimmbad
poor,Arm
pop,Pop
popular,Beliebt
population,Population
porch,Vorbau
port,Hafen
portion,Portion
portrait,Porträt
portray,porträtieren
pose,Pose
position,Position
positive,positiv
possess,besitzen
possibility,Wahrscheinlichkeit
possible,möglich
possibly,möglicherweise
post,Post
pot,Topf
potato,Kartoffel
potential,Potenzial
potentially,möglicherweise
pound,Pfund
pour,gießen
poverty,Armut
powder,Pulver
power,Energie
powerful,kraftvoll
practical,praktisch
practice,trainieren
pray,beten
prayer,Gebet
precisely,genau
predict,vorhersagen
prefer,vorziehen
preference,Präferenz
pregnancy,Schwangerschaft
pregnant,schwanger
preparation,Vorbereitung
prepare,vorbereiten
prescription,Verschreibung
presence,Gegenwart
present,gegenwärtig
presentation,Präsentation
preserve,bewahren
president,Präsident
presidential,Präsidentschaft
press,Drücken Sie
pressure,Druck
pretend,so tun als ob
pretty,hübsch
prevent,verhindern
previous,früher
previously,bisher
price,Preis
pride,Stolz
priest,Priester
primarily,in erster Linie
primary,primär
prime,Prime
principal,Rektor
principle,Prinzip
print,drucken
prior,frühere
priority,Priorität
prison,Gefängnis
prisoner,Häftling
privacy,Privatsphäre
private,Privatgelände
probably,wahrscheinlich
problem,Problem
procedure,Verfahren
proceed,verlaufen
process,Prozess
produce,produzieren
producer,Hersteller
product,Produkt
production,Produktion
profession,Beruf
professional,Fachmann
professor,Professor
profile,Profil
profit,profitieren
program,Programm
progress,Fortschritt
project,Projekt
prominent,prominent
promise,versprechen
promote,fördern
prompt,prompt
proof,nachweisen
proper,richtig
properly,richtig
property,Eigentum
proportion,Anteil
proposal,Vorschlag
propose,vorschlagen
proposed,vorgeschlagen
prosecutor,Staatsanwalt
prospect,Aussicht
protect,beschützen
protection,Schutz
protein,Protein
protest,Protest
proud,stolz
prove,beweisen
provide,zur Verfügung stellen
provider,Anbieter
province,Provinz
provision,Bestimmung
psychological,psychologisch
psychologist,Psychologe
psychology,Psychologie
public,Öffentlichkeit
publication,Veröffentlichung
publicly,öffentlich
publish,veröffentlichen
publisher,Verleger
pull,ziehen
punishment,Bestrafung
purchase,kaufen
pure,rein
purpose,Zweck
pursue,verfolgen
push,drücken
put,stellen
qualify,qualifizieren
quality,Qualität
quarter,Quartal
quarterback,Quarterback
question,Frage
quick,schnell
quickly,schnell
quiet,ruhig
quietly,ruhig
quit,Verlassen
quite,ziemlich
quote,zitieren
race,Rennen
racial,rassistisch
radical,Radikale
radio,Radio
rail,Schiene
rain,Regen
raise,heben
range,Angebot
rank,Rang
rapid,schnell
rapidly,schnell
rare,Selten
rarely,selten
rate,Bewertung
rather,eher
rating,Bewertung
ratio,Verhältnis
raw,roh
reach,erreichen
react,reagieren
reaction,Reaktion
read,lesen
reader,Leser
reading,lesen
ready,bereit
real,real
reality,Wirklichkeit
realize,realisieren
really,Ja wirklich
reason,Grund
reasonable,angemessen
recall,abrufen
receive,erhalten
recent,jüngste
recently,in letzter Zeit
recipe,Rezept
recognition,Erkennung
recognize,erkenne
recommend,empfehlen
recommendation,Empfehlung
record,Aufzeichnung
recording,Aufzeichnung
recover,genesen
recovery,Wiederherstellung
recruit,rekrutieren
red,rot
reduce,reduzieren
reduction,die Ermäßigung
refer,verweisen
reference,Hinweis
reflect,reflektieren
reflection,Betrachtung
reform,Reform
refugee,Flüchtling
refuse,sich weigern
regard,betrachten
regarding,bezüglich
regardless,trotzdem
regime,Regime
region,Region
regional,regional
register,registrieren
regular,regulär
regularly,regelmäßig
regulate,regulieren
regulation,Verordnung
reinforce,verstärken
reject,ablehnen
relate,betreffen
relation,Beziehung
relationship,Beziehung
relative,relativ
relatively,verhältnismäßig
relax,Entspannen Sie sich
release,Veröffentlichung
relevant,relevant
relief,Hilfe
religion,Religion
religious,religiös
rely,vertrauen
remain,bleiben übrig
remaining,verblieben
remarkable,bemerkenswert
remember,denken Sie daran
remind,erinnern
remote,Fernbedienung
remove,Löschen
repeat,wiederholen
repeatedly,wiederholt
replace,ersetzen
reply,Antwort
report,Bericht
reporter,Reporter
represent,vertreten
representation,Darstellung
representative,Vertreter
Republican,Republikaner
reputation,Ruf
request,Anfrage
require,benötigen
requirement,Erfordernis
research,Forschung
researcher,Forscher
resemble,ähneln
reservation,Reservierung
resident,Bewohner
resist,widerstehen
resistance,Widerstand
resolution,Auflösung
resolve,beschließen
resort,Resort
resource,Ressource
respect,Respekt
respond,antworten
respondent,Befragter
response,Antwort
responsibility,Verantwortung
responsible,verantwortlich
rest,sich ausruhen
restaurant,Restaurant
restore,wiederherstellen
restriction,Beschränkung
result,Ergebnis
retain,zuückbehalten
retire,ausscheiden
retirement,Ruhestand
return,Rückkehr
reveal,aufdecken
revenue,Einnahmen
review,Rezension
revolution,Revolution
rhythm,Rhythmus
rice,Reis
rich,Reich
rid,loswerden
ride,Reiten
rifle,Gewehr
right,Rechts
ring,Ring
rise,Aufstieg
risk,Risiko
river,Fluss
road,Straße
rock,Felsen
role,Rolle
roll,rollen
romantic,romantisch
roof,Dach
room,Zimmer
root,Wurzel
rope,Seil
rose,Rose
rough,Rau
roughly,grob
round,runden
route,Route
routine,Routine
row,die Zeile
rub,reiben
rule,Regel
run,Lauf
running,laufend
rural,ländlich
rush,sich beeilen
Russian,Russisch
sacred,heilig
sad,traurig
safe,sicher
safety,Sicherheit
sake,Sake
salad,Salat
salary,Gehalt
sale,Verkauf
sales,Verkauf
salt,Salz
same,gleich
sample,Probe
sanction,Sanktion
sand,Sand
satellite,Satellit
satisfaction,Befriedigung
satisfy,erfüllen
sauce,Soße
save,sparen
saving,sparen
say,sagen
scale,Skala
scandal,Skandal
scared,erschrocken
scenario,Szenario
scene,Szene
schedule,zeitlicher Ablauf
scheme,planen
scholar,Gelehrte
scholarship,Stipendium
school,Schule
science,Wissenschaft
scientific,wissenschaftlich
scientist,Wissenschaftler
scope,Umfang
score,Punktzahl
scream,Schrei
screen,Bildschirm
script,Skript
sea,Meer
search,Suche
season,Jahreszeit
seat,Sitz
second,zweite
secret,Geheimnis
secretary,Sekretär
section,Sektion
sector,Sektor
secure,sicher
security,Sicherheit
see,sehen
seed,Samen
seek,suchen
seem,erscheinen
segment,Segment
seize,ergreifen
select,auswählen
selection,Auswahl
self,selbst
sell,verkaufen
Senate,Senat
senator,Senator
send,senden
senior,Senior
sense,Sinn
sensitive,empfindlich
sentence,Satz
separate,getrennt
sequence,Reihenfolge
series,Serie
serious,ernst
seriously,Ernsthaft
serve,Dienen
service,Service
session,Sitzung
set,einstellen
setting,Einstellung
settle,siedeln
settlement,Siedlung
seven,Sieben
several,mehrere
severe,schwer
sex,Sex
sexual,sexuell
shade,Schatten
shadow,Schatten
shake,Shake
shall,soll
shape,Form
share,Teilen
sharp,Scharf
she,sie
sheet,Blech
shelf,Regal
shell,Hülse
shelter,Schutz
shift,Wechsel
shine,scheinen
ship,Schiff
shirt,Shirt
shit,Scheisse
shock,Schock
shoe,Schuh
shoot,schießen
shooting,Schießen
shop,Geschäft
shopping,Einkaufen
shore,Ufer
short,kurz
shortly,in Kürze
shot,Schuss
should,sollte
shoulder,Schulter
shout,schreien
show,Show
shower,Dusche
shrug,zucken
shut,schließen
sick,krank
side,Seite
sigh,seufzen
sight,Sicht
sign,Schild
signal,Signal
significance,Bedeutung
significant,von Bedeutung
significantly,bedeutend
silence,Schweigen
silent,Leise
silver,Silber-
similar,ähnlich
similarly,ähnlich
simple,einfach
simply,einfach
sin,Sünde
since,seit
sing,singen
singer,Sänger
single,Single
sink,Waschbecken
sir,Herr
sister,Schwester
sit,mach Sitz
site,Seite? ˅
situation,Lage
six,sechs
size,Größe
ski,Ski
skill,Können
skin,Haut
sky,Himmel
slave,Sklave
sleep,schlafen
slice,Scheibe
slide,gleiten
slight,leicht
slightly,leicht
slip,Unterhose
slow,langsam
slowly,langsam
small,klein
smart,Clever
smell,Geruch
smile,lächeln
smoke,Rauch
smooth,glatt
snap,Schnappnahme
snow,Schnee
so,Also
so-called,sogenannt
soccer,Fußball
social,Sozial
society,Gesellschaft
soft,Sanft
software,Software
soil,Boden
solar,Solar-
soldier,Soldat
solid,fest
solution,Lösung
solve,lösen
some,etwas
somebody,jemand
somehow,irgendwie
someone,jemand
something,etwas
sometimes,manchmal
somewhat,etwas
somewhere,irgendwo
son,Sohn
song,Lied
soon,demnächst
sophisticated,anspruchsvoll
sorry,Verzeihung
sort,Sortieren
soul,Seele
sound,Klang
soup,Suppe
source,Quelle
south,Süden
southern,Süd-
Soviet,Sowjet
space,Platz
Spanish,Spanisch
speak,sprechen
speaker,Lautsprecher
special,Besondere
specialist,Spezialist
species,Spezies
specific,Spezifisch
specifically,speziell
speech,Rede
speed,Geschwindigkeit
spend,verbringen
spending,Ausgaben
spin,drehen
spirit,Geist
spiritual,spirituell
split,Teilt
spokesman,Sprecher
sport,Sport
spot,Stelle
spread,Verbreitung
spring,Frühling
square,Quadrat
squeeze,drücken
stability,Stabilität
stable,stabil
staff,Mitarbeiter
stage,Bühne
stair,Treppe
stake,Einsatz
stand,Stand
standard,Standard
standing,Stehen
star,Stern
stare,starren
start,Anfang
state,Zustand
statement,Aussage
station,Bahnhof
statistics,Statistiken
status,Status
stay,bleibe
steady,stetig
steal,stehlen
steel,Stahl
step,Schritt
stick,Stock
still,still
stir,Aufsehen
stock,Lager
stomach,Magen
stone,Stein
stop,Pause
storage,Lagerung
store,Laden
storm,Sturm
story,Geschichte
straight,gerade
strange,seltsam
stranger,Fremder
strategic,strategisch
strategy,Strategie
stream,Strom
street,Straße
strength,Stärke
strengthen,stärken
stress,betonen
stretch,strecken
strike,schlagen
string,Saite
strip,Streifen
stroke,streicheln
strong,stark
strongly,stark
structure,Struktur
struggle,Kampf
student,Schüler
studio,Studio
study,lernen
stuff,Sachen
stupid,dumm
style,Stil
subject,Thema
submit,einreichen
subsequent,anschließend
substance,Substanz
substantial,substanziell
succeed,erfolgreich
success,Erfolg
successful,erfolgreich
successfully,erfolgreich
such,eine solche
sudden,plötzlich
suddenly,plötzlich
sue,verklagen
suffer,leiden
sufficient,reicht aus
sugar,Zucker
suggest,empfehlen
suggestion,Anregung
suicide,Selbstmord
suit,passen
summer,Sommer
summit,Gipfel
sun,Sonne
super,super
supply,liefern
support,Unterstützung
supporter,Fan
suppose,vermuten
supposed,soll
Supreme,Höchste
sure,sicher
surely,sicherlich
surface,auftauchen
surgery,Chirurgie
surprise,Überraschung
surprised,überrascht
surprising,überraschend
surprisingly,überraschenderweise
surround,umgeben
survey,Umfrage
survival,Überleben
survive,überleben
survivor,Überlebende
suspect,vermuten
sustain,erhalten
swear,schwören
sweep,fegen
sweet,süß
swim,schwimmen
swing,schwingen
switch,Schalter
symbol,Symbol
symptom,Symptom
system,System
table,Tisch
tablespoon,Esslöffel
tactic,Taktik
tail,Schwanz
take,nehmen
tale,Geschichte
talent,Talent
talk,sich unterhalten
tall,hoch
tank,Panzer
tap,klopfen
tape,Band
target,Ziel
task,Aufgabe
taste,Geschmack
tax,MwSt
taxpayer,Steuerzahler
tea,Tee
teach,unterrichten
teacher,Lehrer
teaching,Lehren
team,Mannschaft
tear,Träne
teaspoon,Teelöffel
technical,technisch
technique,Technik
technology,Technologie
teen,Teenager
teenager,Teenager
telephone,Telefon
telescope,Teleskop
television,Fernsehen
tell,erzählen
temperature,Temperatur
temporary,vorübergehend
ten,zehn
tend,neigen
tendency,Tendenz
tennis,Tennis
tension,Spannung
tent,Zelt
term,Begriff
terms,Bedingungen
terrible,abscheulich
territory,Gebiet
terror,Terror
terrorism,Terrorismus
terrorist,Terrorist
test,Prüfung
testify,bezeugen
testimony,Zeugnis
testing,testen
text,Text
than,als
thank,danken
thanks,Danke
that,das
the,das
theater,Theater
their,ihr
them,Sie
theme,Thema
themselves,sich
then,dann
theory,Theorie
therapy,Therapie
there,dort
therefore,deshalb
these,diese
they,sie
thick,dick
thin,dünn
thing,Ding
think,denken
thinking,Denken
third,dritte
thirty,dreißig
this,Dies
those,diese
though,obwohl
thought,Gedanke
thousand,tausend
threat,Drohung
threaten,drohen
three,drei
throat,Kehle
through,durch
throughout,hindurch
throw,Wurf
thus,daher
ticket,Fahrkarte
tie,binden
tight,fest
time,Zeit
tiny,sehr klein
tip,Tipp
tire,Reifen
tired,müde
tissue,Gewebe
title,Titel
to,zu
tobacco,Tabak
today,heute
toe,Zehe
together,zusammen
tomato,Tomate
tomorrow,Morgen
tone,Ton
tongue,Zunge
tonight,heute Abend
too,zu
tool,Werkzeug
tooth,Zahn
top,oben
topic,Thema
toss,werfen
total,gesamt
totally,total
touch,berühren
tough,hart
tour,Tour
tourist,Tourist
tournament,Turnier
toward,zu
towards,gegenüber
tower,Turm
town,"Stadt, Dorf"
toy,Spielzeug
trace,verfolgen
track,Spur
trade,handeln
tradition,Tradition
traditional,traditionell
traffic,Verkehr
tragedy,Tragödie
trail,Pfad
train,Zug
training,Ausbildung
transfer,Transfer
transform,verwandeln
transformation,Transformation
transition,Überleitung
translate,Übersetzen
transportation,Transport
travel,reisen
treat,behandeln
treatment,Behandlung
treaty,Vertrag
tree,Baum
tremendous,enorm
trend,Trend
trial,Studie
tribe,Stamm
trick,Trick
trip,Reise
troop,Trupp
trouble,Problem
truck,LKW
TRUE,STIMMT
truly,wirklich
trust,vertrauen
truth,Wahrheit
try,Versuchen
tube,Rohr
tunnel,Tunnel
turn,drehen
TV,Fernseher
twelve,zwölf
twenty,zwanzig
twice,zweimal
twin,Zwilling
two,zwei
type,Typ
typical,typisch
typically,Normalerweise
ugly,hässlich
ultimate,ultimativ
ultimately,letzten Endes
unable,unfähig
uncle,Onkel
under,unter
undergo,unterziehen
understand,verstehe
understanding,Verständnis
unfortunately,Unglücklicherweise
uniform,Uniform
union,Union
unique,einzigartig
unit,Einheit
United,Vereinigt
universal,Universal-
universe,Universum
university,Universität
unknown,Unbekannt
unless,wenn nicht
unlike,nicht wie
unlikely,unwahrscheinlich
until,bis um
unusual,ungewöhnlich
up,hoch
upon,auf
upper,"Oberer, höher"
urban,urban
urge,Drang
us,uns
use,verwenden
used,Gebraucht
useful,nützlich
user,Benutzer
usual,üblich
usually,normalerweise
utility,Dienstprogramm
vacation,Urlaub
valley,Senke
valuable,wertvoll
value,Wert
variable,Variable
variation,Variation
variety,Vielfalt
various,verschiedene
vary,variieren
vast,groß
vegetable,Gemüse
vehicle,Fahrzeug
venture,wagen
version,Ausführung
versus,gegen
very,sehr
vessel,Schiff
veteran,Veteran
via,über
victim,Opfer
victory,Sieg
video,Video
view,Aussicht
viewer,Zuschauer
village,Dorf
violate,verletzen
violation,Verstoß
violence,Gewalt
violent,heftig
virtually,virtuell
virtue,Tugend
virus,Virus
visible,sichtbar
vision,Vision
visit,Besuch
visitor,Besucher
visual,visuell
vital,vital
voice,Stimme
volume,Volumen
volunteer,Freiwillige
vote,Abstimmung
voter,Wähler
vs,vs
vulnerable,verletzlich
wage,Lohn
wait,Warten
wake,aufwachen
walk,Spaziergang
wall,Mauer
wander,wandern
want,wollen
war,Krieg
warm,warm
warn,warnen
warning,Warnung
wash,waschen
waste,Abfall
watch,Uhr
water,Wasser
wave,Welle
way,Weg
we,wir
weak,schwach
wealth,Vermögen
wealthy,reich
weapon,Waffe
wear,tragen
weather,Wetter
wedding,Hochzeit
week,Woche
weekend,Wochenende
weekly,wöchentlich
weigh,wiegen
weight,Gewicht
welcome,willkommen
welfare,Wohlfahrt
well,Gut
west,Westen
western,Western
wet,nass
what,was
whatever,wie auch immer
wheel,Rad
when,Wenn
whenever,Wann immer
where,wo
whereas,wohingegen
whether,ob
which,die
while,während
whisper,flüstern
white,Weiß
who,wer
whole,ganz
whom,dem
whose,Deren
why,warum
wide,breit
widely,weit
widespread,weit verbreitet
wife,Ehefrau
wild,wild
will,Wille
willing,bereit
win,gewinnen
wind,Wind
window,Fenster
wine,Wein
wing,Flügel
winner,Gewinner
winter,Winter
wipe,wischen
wire,Kabel
wisdom,Weisheit
wise,weise
wish,Wunsch
with,mit
withdraw,abheben
within,innerhalb
without,ohne
witness,Zeuge
woman,Frau
wonder,sich fragen
wonderful,wunderbar
wood,Holz
wooden,hölzern
word,Wort
work,Arbeit
worker,Arbeiter
working,Arbeiten
works,Arbeiten
workshop,Werkstatt
world,Welt
worried,besorgt
worry,Sorge
worth,Wert
would,möchten
wound,Wunde
wrap,wickeln
write,schreiben
writer,Schriftsteller
writing,Schreiben
wrong,falsch
yard,Hof
yeah,ja
year,Jahr
yell,Schrei
yellow,gelb
yes,Jawohl
yesterday,gestern
yet,noch
yield,Ertrag
you,Sie
young,jung
your,dein
yours,deine
yourself,dich selbst
youth,Jugend
zone,Zone
